name,seq_len,exact_p,exact_r,exact_f1,shift_p,shift_r,shift_f1
./RNAStrAlign/16S_rRNA_database/Actinobacteria/DQ645600.ct,588,0.4477612,0.36809817,0.4040404,0.4477612,0.36809817,0.4040404
./RNAStrAlign/tRNA_database/tdbD00006626.ct,86,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B03696.ct,116,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Eukaryota/E01124.ct,122,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/SRP_database/archael/Halo.mari._AY596297.ct,316,0.025714286,0.09090909,0.040089086,0.037142858,0.13131313,0.05790646
./RNAStrAlign/5S_rRNA_database/Bacteria/B04496.ct,117,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B00158.ct,116,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B06394.ct,120,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00004322.ct,75,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/16S_rRNA_database/Alphaproteobacteria/X90810.ct,226,0.96153843,0.8196721,0.88495576,0.96153843,0.8196721,0.88495576
./RNAStrAlign/tmRNA_database/List.seel._AF440350.ct,321,0.3255814,0.15730338,0.21212122,0.3488372,0.16853933,0.22727273
./RNAStrAlign/tRNA_database/tdbD00010495.ct,73,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00006904.ct,88,0.90909094,0.7692308,0.8333333,0.95454544,0.8076923,0.875
./RNAStrAlign/tRNA_database/tdbD00011638.ct,73,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/16S_rRNA_database/Alphaproteobacteria/U13164.ct,244,0.73333335,0.45833334,0.5641026,0.7777778,0.4861111,0.5982906
./RNAStrAlign/5S_rRNA_database/Bacteria/B02272.ct,115,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Eukaryota/E00848.ct,122,1.0,0.9411765,0.969697,1.0,0.9411765,0.969697
./RNAStrAlign/tRNA_database/tdbD00009011.ct,77,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00005123.ct,74,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B04558.ct,116,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00009228.ct,74,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/group_I_intron_database/IE2/Chlo_lu.S516-2.ct,373,0.28070176,0.14814815,0.19393939,0.28070176,0.14814815,0.19393939
./RNAStrAlign/tRNA_database/tdbD00004356.ct,72,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B04085.ct,119,1.0,0.969697,0.9846154,1.0,0.969697,0.9846154
./RNAStrAlign/group_I_intron_database/IC3/Ake.c.trnL.ct,233,1.0,0.7936508,0.88495576,1.0,0.7936508,0.88495576
./RNAStrAlign/group_I_intron_database/IC1/Hma.S943.ct,393,0.5102041,0.24038461,0.3267974,0.5102041,0.24038461,0.3267974
./RNAStrAlign/5S_rRNA_database/Eukaryota/E02184.ct,122,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/group_I_intron_database/IB4/Msp-1.mL1931_p10.ct,268,0.5,0.2345679,0.31932774,0.5,0.2345679,0.31932774
./RNAStrAlign/RNaseP_database/a_bacterial/CPA59.ct,316,0.6136364,0.35064936,0.446281,0.65909094,0.37662336,0.47933885
./RNAStrAlign/tRNA_database/tdbD00005748.ct,77,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B05476.ct,116,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00003404.ct,73,0.71428573,0.47619048,0.5714286,1.0,0.6666667,0.8
./RNAStrAlign/5S_rRNA_database/Eukaryota/E02448.ct,123,0.969697,0.9142857,0.9411765,1.0,0.94285715,0.9705882
./RNAStrAlign/5S_rRNA_database/Bacteria/B00662.ct,115,0.96153843,0.78125,0.86206895,0.96153843,0.78125,0.86206895
./RNAStrAlign/5S_rRNA_database/Archaea/A00040.ct,119,0.9142857,0.9142857,0.9142857,0.9714286,0.9714286,0.9714286
./RNAStrAlign/5S_rRNA_database/Bacteria/B03294.ct,119,0.9259259,0.8064516,0.86206895,1.0,0.87096775,0.9310345
./RNAStrAlign/5S_rRNA_database/Bacteria/B05980.ct,120,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00008877.ct,77,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00000221.ct,73,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B04763.ct,117,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00000657.ct,72,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B00469.ct,120,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00006855.ct,82,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B03876.ct,112,1.0,0.9032258,0.9491525,1.0,0.9032258,0.9491525
./RNAStrAlign/5S_rRNA_database/Bacteria/B02886.ct,110,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B00483.ct,108,1.0,0.9310345,0.96428573,1.0,0.9310345,0.96428573
./RNAStrAlign/tRNA_database/tdbD00007536.ct,77,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B03871.ct,116,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/tRNA_database/tdbD00011228.ct,76,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B00306.ct,117,1.0,1.0,1.0,1.0,1.0,1.0
./RNAStrAlign/5S_rRNA_database/Bacteria/B00879.ct,115,0.96666664,1.0,0.9830508,0.96666664,1.0,0.9830508
./RNAStrAlign/tRNA_database/tdbD00005925.ct,73,1.0,1.0,1.0,1.0,1.0,1.0
