name,seq_len,exact_p,exact_r,exact_f1,shift_p,shift_r,shift_f1
./RNAStrAlign/16S_rRNA_database/Actinobacteria/DQ645600.ct,588,0.9370629,0.8220859,0.875817,0.951049,0.83435583,0.8888889
./RNAStrAlign/tRNA_database/tdbD00006626.ct,86,0.55,0.45833334,0.5,0.7,0.5833333,0.6363636
./RNAStrAlign/5S_rRNA_database/Bacteria/B03696.ct,116,0.76,0.5588235,0.6440678,0.76,0.5588235,0.6440678
./RNAStrAlign/5S_rRNA_database/Eukaryota/E01124.ct,122,0.60714287,0.4722222,0.53125,0.6785714,0.5277778,0.59375
./RNAStrAlign/SRP_database/archael/Halo.mari._AY596297.ct,316,0.11111111,0.060606062,0.078431375,0.11111111,0.060606062,0.078431375
./RNAStrAlign/5S_rRNA_database/Bacteria/B04496.ct,117,0.2857143,0.1875,0.2264151,0.2857143,0.1875,0.2264151
./RNAStrAlign/5S_rRNA_database/Bacteria/B00158.ct,116,0.45,0.28125,0.34615386,0.45,0.28125,0.34615386
./RNAStrAlign/5S_rRNA_database/Bacteria/B06394.ct,120,0.5416667,0.38235295,0.44827586,0.625,0.44117647,0.51724136
./RNAStrAlign/tRNA_database/tdbD00004322.ct,75,0.64705884,0.52380955,0.57894737,0.88235295,0.71428573,0.7894737
./RNAStrAlign/16S_rRNA_database/Alphaproteobacteria/X90810.ct,226,0.3611111,0.21311475,0.26804122,0.41666666,0.24590164,0.30927834
./RNAStrAlign/tmRNA_database/List.seel._AF440350.ct,321,0.057971016,0.04494382,0.050632913,0.08695652,0.06741573,0.07594936
./RNAStrAlign/tRNA_database/tdbD00010495.ct,73,0.6363636,0.33333334,0.4375,0.6363636,0.33333334,0.4375
./RNAStrAlign/tRNA_database/tdbD00006904.ct,88,0.083333336,0.03846154,0.05263158,0.25,0.115384616,0.15789473
./RNAStrAlign/tRNA_database/tdbD00011638.ct,73,0.8666667,0.61904764,0.7222222,1.0,0.71428573,0.8333333
./RNAStrAlign/16S_rRNA_database/Alphaproteobacteria/U13164.ct,244,0.3469388,0.2361111,0.28099173,0.42857143,0.29166666,0.34710744
./RNAStrAlign/5S_rRNA_database/Bacteria/B02272.ct,115,0.6363636,0.42424244,0.5090909,0.6818182,0.45454547,0.54545456
./RNAStrAlign/5S_rRNA_database/Eukaryota/E00848.ct,122,0.7037037,0.5588235,0.6229508,0.8148148,0.64705884,0.72131145
./RNAStrAlign/tRNA_database/tdbD00009011.ct,77,0.7058824,0.5714286,0.6315789,0.8235294,0.6666667,0.7368421
